動詞,ます形,ない型,て形 (音便),中文,た形,ます形發音,たい形,命令形,發音
過ごす,過ごします,過ごさない,過ごして,過（日子）【他動詞・五段動詞】,過ごした,すごします,過ごしたい,過ごせ,すごす
済ます,済まします,済まさない,済まして,完成／了事／處理【他動詞・五段動詞】,済ました,すまします,済ましたい,済ませ,すます
溶かす,溶かします,溶かさない,溶かして,使～融化、溶解【他動詞・五段動詞】,溶かした,とかします,溶かしたい,溶かせ,とかす
飛ばす,飛ばします,飛ばさない,飛ばして,使～飛；跳過～；高速行駛【他動詞・五段動詞】,飛ばした,とばします,飛ばしたい,飛ばせ,とばす
鳴らす,鳴らします,鳴らさない,鳴らして,使～發聲、弄響；按響【他動詞・五段動詞】,鳴らした,ならします,鳴らしたい,鳴らせ,ならす
似合う,似合います,似合わない,似合って,配／合適／相稱【自動詞・五段動詞】,似合った,にあいます,似合いたい,似合え,にあう
濡らす,濡らします,濡らさない,濡らして,把～弄濕【他動詞・五段動詞】,濡らした,ぬらします,濡らしたい,濡らせ,ぬらす
伸ばす,伸ばします,伸ばさない,伸ばして,使～伸長、延長；留長（頭髮）【他動詞・五段動詞】,伸ばした,のばします,伸ばしたい,伸ばせ,のばす
生やす,生やします,生やさない,生やして,使～生長；留（鬍鬚等）【他動詞・五段動詞】,生やした,はやします,生やしたい,生やせ,はやす
冷やす,冷やします,冷やさない,冷やして,把～冰涼、冷卻【他動詞・五段動詞】,冷やした,ひやします,冷やしたい,冷やせ,ひやす
増やす,増やします,増やさない,増やして,使～增加、增添【他動詞・五段動詞】,増やした,ふやします,増やしたい,増やせ,ふやす
減らす,減らします,減らさない,減らして,使～減少、削減【他動詞・五段動詞】,減らした,へらします,減らしたい,減らせ,へらす
燃やす,燃やします,燃やさない,燃やして,把～燃燒、燒掉【他動詞・五段動詞】,燃やした,もやします,燃やしたい,燃やせ,もやす
揺らす,揺らします,揺らさない,揺らして,使～搖晃、搖動【他動詞・五段動詞】,揺らした,ゆらします,揺らしたい,揺らせ,ゆらす
散らす,散らします,散らさない,散らして,使～散開、弄散、弄亂【他動詞・五段動詞】,散らした,ちらします,散らしたい,散らせ,ちらす
預かる,預かります,預からない,預かって,代為保管、受託照顧（收下的一方）【他動詞・五段動詞】,預かった,あずかります,預かりたい,預かれ,あずかる
動かす,動かします,動かさない,動かして,使～移動、運轉；打動【他動詞・五段動詞】,動かした,うごかします,動かしたい,動かせ,うごかす
教わる,教わります,教わらない,教わって,向～學習、受教（學習的一方）【他動詞・五段動詞】,教わった,おそわります,教わりたい,教われ,おそわる
乾かす,乾かします,乾かさない,乾かして,使～乾燥、曬乾【他動詞・五段動詞】,乾かした,かわかします,乾かしたい,乾かせ,かわかす
見守る,見守ります,見守らない,見守って,關注、守護／注視【他動詞・五段動詞】,見守った,みまもります,見守りたい,見守れ,みまもる
追い越す,追い越します,追い越さない,追い越して,超車、追過～【他動詞・五段動詞】,追い越した,おいこします,追い越したい,追い越せ,おいこす
思い描く,思い描きます,思い描かない,思い描いて,心中描繪／想像【他動詞・五段動詞】,思い描いた,おもいえがきます,思い描きたい,思い描け,おもいえがく
思い付く,思い付きます,思い付かない,思い付いて,忽然想到、想出【他動詞・五段動詞】,思い付いた,おもいつきます,思い付きたい,思い付け,おもいつく
思いやる,思いやります,思いやらない,思いやって,體諒、關懷、替～著想【他動詞・五段動詞】,思いやった,おもいやります,思いやりたい,思いやれ,おもいやる
申し込む,申し込みます,申し込まない,申し込んで,申請【他動詞・五段動詞】,申し込んだ,もうしこみます,申し込みたい,申し込め,もうしこむ
繰り返す,繰り返します,繰り返さない,繰り返して,反覆／重複【他動詞・五段動詞】,繰り返した,くりかえします,繰り返したい,繰り返せ,くりかえす
話し合う,話し合います,話し合わない,話し合って,互相交談、商量、討論【他動詞・五段動詞】,話し合った,はなしあいます,話し合いたい,話し合え,はなしあう
煮る,煮ます,煮ない,煮て,煮～（人為烹煮）【他動詞・一段動詞】,煮た,にます,煮たい,煮ろ,にる
診る,診ます,診ない,診て,診察（病人）、看病【他動詞・一段動詞】,診た,みます,診たい,診ろ,みる
信じる,信じます,信じない,信じて,相信【他動詞・一段動詞】,信じた,しんじます,信じたい,信じろ,しんじる
論じる,論じます,論じない,論じて,論述／議論／討論【他動詞・一段動詞】,論じた,ろんじます,論じたい,論じろ,ろんじる
得る,得ます,得ない,得て,得到【他動詞・一段動詞】,得た,えます,得たい,得ろ,える
空ける,空けます,空けない,空けて,把～空出、騰出；留空【他動詞・一段動詞】,空けた,あけます,空けたい,空けろ,あける
揚げる,揚げます,揚げない,揚げて,油炸～；升起、揚起～【他動詞・一段動詞】,揚げた,あげます,揚げたい,揚げろ,あげる
当てる,当てます,当てない,当てて,使～碰到、命中；猜中；分配【他動詞・一段動詞】,当てた,あてます,当てたい,当てろ,あてる
繋げる,繋げます,繋げない,繋げて,把～連接起來；使產生關聯【他動詞・一段動詞】,繋げた,つなげます,繋げたい,繋げろ,つなげる
埋める,埋めます,埋めない,埋めて,掩埋～；填滿～；彌補～【他動詞・一段動詞】,埋めた,うめます,埋めたい,埋めろ,うめる
替える,替えます,替えない,替えて,換掉～、更換（同類事物）【他動詞・一段動詞】,替えた,かえます,替えたい,替えろ,かえる
代える,代えます,代えない,代えて,用～代替、取代（代用）【他動詞・一段動詞】,代えた,かえます,代えたい,代えろ,かえる
避ける,避けます,避けない,避けて,避開／躲避／閃避【他動詞・一段動詞】,避けた,さけます,避けたい,避けろ,さける
溜める,溜めます,溜めない,溜めて,積存～、累積～、儲存～【他動詞・一段動詞】,溜めた,ためます,溜めたい,溜めろ,ためる
点ける,点けます,点けない,点けて,打開（燈、電器）、點燃（火）【他動詞・一段動詞】,点けた,つけます,点けたい,点けろ,つける
似せる,似せます,似せない,似せて,仿製、仿造、模仿【他動詞・一段動詞】,似せた,にせます,似せたい,似せろ,にせる
乗せる,乗せます,乗せない,乗せて,讓～乘坐；把～放上、裝載【他動詞・一段動詞】,乗せた,のせます,乗せたい,乗せろ,のせる
載せる,載せます,載せない,載せて,刊登、登載（文章或資訊）【他動詞・一段動詞】,載せた,のせます,載せたい,載せろ,のせる
曲げる,曲げます,曲げない,曲げて,折彎、弄彎／扭曲／改變【他動詞・一段動詞】,曲げた,まげます,曲げたい,曲げろ,まげる
混ぜる,混ぜます,混ぜない,混ぜて,混、混合、攪拌【他動詞・一段動詞】,混ぜた,まぜます,混ぜたい,混ぜろ,まぜる
真似る,真似ます,真似ない,真似て,模仿【他動詞・一段動詞】,真似た,まねます,真似たい,真似ろ,まねる
向ける,向けます,向けない,向けて,使～朝向、轉向；把～用於【他動詞・一段動詞】,向けた,むけます,向けたい,向けろ,むける
辞める,辞めます,辞めない,辞めて,辭職／辭去／辭退【他動詞・一段動詞】,辞めた,やめます,辞めたい,辞めろ,やめる
茹でる,茹でます,茹でない,茹でて,水煮【他動詞・一段動詞】,茹でた,ゆでます,茹でたい,茹でろ,ゆでる
分ける,分けます,分けない,分けて,把～分開、分配；區分；打成平手【他動詞・一段動詞】,分けた,わけます,分けたい,分けろ,わける
預ける,預けます,預けない,預けて,把～寄放、託付（交出的一方）【他動詞・一段動詞】,預けた,あずけます,預けたい,預けろ,あずける
与える,与えます,与えない,与えて,給予【他動詞・一段動詞】,与えた,あたえます,与えたい,与えろ,あたえる
温める,温めます,温めない,温めて,加熱、加溫【他動詞・一段動詞】,温めた,あたためます,温めたい,温めろ,あたためる
痛める,痛めます,痛めない,痛めて,弄傷～、使～疼痛；使～痛心【他動詞・一段動詞】,痛めた,いためます,痛めたい,痛めろ,いためる
抑える,抑えます,抑えない,抑えて,壓抑／抑制／鎮壓【他動詞・一段動詞】,抑えた,おさえます,抑えたい,抑えろ,おさえる
重ねる,重ねます,重ねない,重ねて,把～疊起、重疊；反覆、累積【他動詞・一段動詞】,重ねた,かさねます,重ねたい,重ねろ,かさねる
数える,数えます,数えない,数えて,數數／計算【他動詞・一段動詞】,数えた,かぞえます,数えたい,数えろ,かぞえる
進める,進めます,進めない,進めて,推進～、使～進展；往前移動～【他動詞・一段動詞】,進めた,すすめます,進めたい,進めろ,すすめる
勧める,勧めます,勧めない,勧めて,勸～做；勸用、鼓勵【他動詞・一段動詞】,勧めた,すすめます,勧めたい,勧めろ,すすめる
薦める,薦めます,薦めない,薦めて,推薦～（人或事物）【他動詞・一段動詞】,薦めた,すすめます,薦めたい,薦めろ,すすめる
揃える,揃えます,揃えない,揃えて,把～備齊、湊齊；使～一致整齊【他動詞・一段動詞】,揃えた,そろえます,揃えたい,揃えろ,そろえる
高める,高めます,高めない,高めて,提高～、增強～【他動詞・一段動詞】,高めた,たかめます,高めたい,高めろ,たかめる
助ける,助けます,助けない,助けて,救／幫忙／救助【他動詞・一段動詞】,助けた,たすけます,助けたい,助けろ,たすける
縮める,縮めます,縮めない,縮めて,使～縮短、縮小【他動詞・一段動詞】,縮めた,ちぢめます,縮めたい,縮めろ,ちぢめる
強める,強めます,強めない,強めて,使～加強、增強【他動詞・一段動詞】,強めた,つよめます,強めたい,強めろ,つよめる
広げる,広げます,広げない,広げて,把～展開、擴展；張開【他動詞・一段動詞】,広げた,ひろげます,広げたい,広げろ,ひろげる
広める,広めます,広めない,広めて,使～傳播、普及、推廣【他動詞・一段動詞】,広めた,ひろめます,広めたい,広めろ,ひろめる
深める,深めます,深めない,深めて,使～加深、深化【他動詞・一段動詞】,深めた,ふかめます,深めたい,深めろ,ふかめる
含める,含めます,含めない,含めて,把～包括在內、包含【他動詞・一段動詞】,含めた,ふくめます,含めたい,含めろ,ふくめる
任せる,任せます,任せない,任せて,交付／託付／委託【他動詞・一段動詞】,任せた,まかせます,任せたい,任せろ,まかせる
弱める,弱めます,弱めない,弱めて,使～減弱、削弱【他動詞・一段動詞】,弱めた,よわめます,弱めたい,弱めろ,よわめる
まとめる,まとめます,まとめない,まとめて,把～整理、彙整；使～達成一致【他動詞・一段動詞】,まとめた,まとめます,まとめたい,まとめろ,まとめる
済ませる,済ませます,済ませない,済ませて,把～做完、處理完【他動詞・一段動詞】,済ませた,すませます,済ませたい,済ませろ,すませる
合わせる,合わせます,合わせない,合わせて,使～配合、對準、合併；合計【他動詞・一段動詞】,合わせた,あわせます,合わせたい,合わせろ,あわせる
押さえる,押さえます,押さえない,押さえて,壓住／扣押【他動詞・一段動詞】,押さえた,おさえます,押さえたい,押さえろ,おさえる
着替える,着替えます,着替えない,着替えて,換衣服、更衣【他動詞・一段動詞】,着替えた,きがえます,着替えたい,着替えろ,きがえる
見かける,見かけます,見かけない,見かけて,看到、偶然目擊【他動詞・一段動詞】,見かけた,みかけます,見かけたい,見かけろ,みかける
確かめる,確かめます,確かめない,確かめて,確認／查明／弄清楚【他動詞・一段動詞】,確かめた,たしかめます,確かめたい,確かめろ,たしかめる
役立てる,役立てます,役立てない,役立てて,使～發揮作用、善加利用【他動詞・一段動詞】,役立てた,やくだてます,役立てたい,役立てろ,やくだてる
近付ける,近付けます,近付けない,近付けて,使～靠近、移近【他動詞・一段動詞】,近付けた,ちかづけます,近付けたい,近付けろ,ちかづける
引き受ける,引き受けます,引き受けない,引き受けて,承接～、答應負責～【他動詞・一段動詞】,引き受けた,ひきうけます,引き受けたい,引き受けろ,ひきうける
ぶつける,ぶつけます,ぶつけない,ぶつけて,使～撞上；扔向～；發洩【他動詞・一段動詞】,ぶつけた,ぶつけます,ぶつけたい,ぶつけろ,ぶつける
無視する,無視します,無視しない,無視して,無視、忽視、不理會【他動詞・サ變動詞】,無視した,むしします,無視したい,無視しろ,むしする
批判する,批判します,批判しない,批判して,批評、批判【他動詞・サ變動詞】,批判した,ひはんします,批判したい,批判しろ,ひはんする
効く,効きます,効かない,効いて,見效、奏效、有效果【自動詞・五段動詞】,効いた,ききます,効きたい,効け,きく
経つ,経ちます,経たない,経って,（時間）經過／流逝【自動詞・五段動詞】,経った,たちます,経ちたい,経て,たつ
建つ,建ちます,建たない,建って,建成、坐落、矗立【自動詞・五段動詞】,建った,たちます,建ちたい,建て,たつ
発つ,発ちます,発たない,発って,出發／動身【自動詞・五段動詞】,発った,たちます,発ちたい,発て,たつ
付く,付きます,付かない,付いて,附著、裝上；跟隨；附帶【自動詞・五段動詞】,付いた,つきます,付きたい,付け,つく
散る,散ります,散らない,散って,散落、凋謝；四散【自動詞・五段動詞】,散った,ちります,散りたい,散れ,ちる
減る,減ります,減らない,減って,減少、變少【自動詞・五段動詞】,減った,へります,減りたい,減れ,へる
向く,向きます,向かない,向いて,朝向／面向／指向／適合【自動詞・五段動詞】,向いた,むきます,向きたい,向け,むく
映る,映ります,映らない,映って,映出、倒映；出現在畫面上【自動詞・五段動詞】,映った,うつります,映りたい,映れ,うつる
渇く,渇きます,渇かない,渇いて,口渴【自動詞・五段動詞】,渇いた,かわきます,渇きたい,渇け,かわく
腐る,腐ります,腐らない,腐って,腐／腐敗／腐爛【自動詞・五段動詞】,腐った,くさります,腐りたい,腐れ,くさる
下る,下ります,下らない,下って,下去、下行；下達（命令、判決）【自動詞・五段動詞】,下った,くだります,下りたい,下れ,くだる
暮らす,暮らします,暮らさない,暮らして,生活／過日子【自動詞・五段動詞】,暮らした,くらします,暮らしたい,暮らせ,くらす
育つ,育ちます,育たない,育って,成長、長大（自己成長）【自動詞・五段動詞】,育った,そだちます,育ちたい,育て,そだつ
揃う,揃います,揃わない,揃って,一致／整齊／到齊【自動詞・五段動詞】,揃った,そろいます,揃いたい,揃え,そろう
黙る,黙ります,黙らない,黙って,沉默／閉嘴【自動詞・五段動詞】,黙った,だまります,黙りたい,黙れ,だまる
届く,届きます,届かない,届いて,送達、到達；夠得到【自動詞・五段動詞】,届いた,とどきます,届きたい,届け,とどく
上る,上ります,上らない,上って,登上、上升；達到（數量）【自動詞・五段動詞】,上った,のぼります,上りたい,上れ,のぼる
昇る,昇ります,昇らない,昇って,升起、上升；晉升（讀作のぼる）【自動詞・五段動詞】,昇った,のぼります,昇りたい,昇れ,のぼる
悩む,悩みます,悩まない,悩んで,煩惱【自動詞・五段動詞】,悩んだ,なやみます,悩みたい,悩め,なやむ
迷う,迷います,迷わない,迷って,猶豫／迷（路）【自動詞・五段動詞】,迷った,まよいます,迷いたい,迷え,まよう
返る,返ります,返らない,返って,返回原處／原狀；翻轉（非「歸還某物」）【自動詞・五段動詞】,返った,かえります,返りたい,返れ,かえる
罹る,罹ります,罹らない,罹って,患（病）、罹患【自動詞・五段動詞】,罹った,かかります,罹りたい,罹れ,かかる
代わる,代わります,代わらない,代わって,代替某人、代理（角色替代）【自動詞・五段動詞】,代わった,かわります,代わりたい,代われ,かわる
替わる,替わります,替わらない,替わって,被換成、換班；事物更替【自動詞・五段動詞】,替わった,かわります,替わりたい,替われ,かわる
刺さる,刺さります,刺さらない,刺さって,刺入、扎入（呈刺著的狀態）【自動詞・五段動詞】,刺さった,ささります,刺さりたい,刺され,ささる
出会う,出会います,出会わない,出会って,相遇、相逢【自動詞・五段動詞】,出会った,であいます,出会いたい,出会え,であう
詰まる,詰まります,詰まらない,詰まって,堵塞、塞滿；縮短；陷入窘境【自動詞・五段動詞】,詰まった,つまります,詰まりたい,詰まれ,つまる
流行る,流行ります,流行らない,流行って,流行【自動詞・五段動詞】,流行った,はやります,流行りたい,流行れ,はやる
混ざる,混ざります,混ざらない,混ざって,混在一起、摻混（同類混合）【自動詞・五段動詞】,混ざった,まざります,混ざりたい,混ざれ,まざる
混じる,混じります,混じらない,混じって,夾雜、摻入（混有異類）【自動詞・五段動詞】,混じった,まじります,混じりたい,混じれ,まじる
埋まる,埋まります,埋まらない,埋まって,被埋住；填滿、坐滿；空缺補滿【自動詞・五段動詞】,埋まった,うまります,埋まりたい,埋まれ,うまる
起こる,起こります,起こらない,起こって,發生、產生（事情自己出現）【自動詞・五段動詞】,起こった,おこります,起こりたい,起これ,おこる
広がる,広がります,広がらない,広がって,展開、擴大；蔓延（範圍變廣）【自動詞・五段動詞】,広がった,ひろがります,広がりたい,広がれ,ひろがる
広まる,広まります,広まらない,広まって,傳開、普及（消息或事物）【自動詞・五段動詞】,広まった,ひろまります,広まりたい,広まれ,ひろまる
深まる,深まります,深まらない,深まって,加深、深化（程度自行提高）【自動詞・五段動詞】,深まった,ふかまります,深まりたい,深まれ,ふかまる
温まる,温まります,温まらない,温まって,變暖、暖和起來【自動詞・五段動詞】,温まった,あたたまります,温まりたい,温まれ,あたたまる
片付く,片付きます,片付かない,片付いて,收拾好、整理完；事情解決【自動詞・五段動詞】,片付いた,かたづきます,片付きたい,片付け,かたづく
高まる,高まります,高まらない,高まって,升高、高漲（程度自行提高）【自動詞・五段動詞】,高まった,たかまります,高まりたい,高まれ,たかまる
助かる,助かります,助からない,助かって,得救、獲救【自動詞・五段動詞】,助かった,たすかります,助かりたい,助かれ,たすかる
亡くなる,亡くなります,亡くならない,亡くなって,死亡【自動詞・五段動詞】,亡くなった,なくなります,亡くなりたい,亡くなれ,なくなる
まとまる,まとまります,まとまらない,まとまって,整理成形；達成一致；談妥【自動詞・五段動詞】,まとまった,まとまります,まとまりたい,まとまれ,まとまる
役立つ,役立ちます,役立たない,役立って,有用／有幫助【自動詞・五段動詞】,役立った,やくだちます,役立ちたい,役立て,やくだつ
弱まる,弱まります,弱まらない,弱まって,減弱、變弱【自動詞・五段動詞】,弱まった,よわまります,弱まりたい,弱まれ,よわまる
強まる,強まります,強まらない,強まって,增強、變強【自動詞・五段動詞】,強まった,つよまります,強まりたい,強まれ,つよまる
繋がる,繋がります,繋がらない,繋がって,連接著、相通；有關聯【自動詞・五段動詞】,繋がった,つながります,繋がりたい,繋がれ,つながる
近付く,近付きます,近付かない,近付いて,靠近、接近（自己移近）【自動詞・五段動詞】,近付いた,ちかづきます,近付きたい,近付け,ちかづく
捕まる,捕まります,捕まらない,捕まって,被抓住、被逮捕；抓住～作支撐【自動詞・五段動詞】,捕まった,つかまります,捕まりたい,捕まれ,つかまる
付き合う,付き合います,付き合わない,付き合って,交往／來往／陪／作伴【自動詞・五段動詞】,付き合った,つきあいます,付き合いたい,付き合え,つきあう
割り込む,割り込みます,割り込まない,割り込んで,插入／插嘴／插隊【自動詞・五段動詞】,割り込んだ,わりこみます,割り込みたい,割り込め,わりこむ
通り越す,通り越します,通り越さない,通り越して,走過頭、越過～【自他兩用・五段動詞】,通り越した,とおりこします,通り越したい,通り越せ,とおりこす
擦れ違う,擦れ違います,擦れ違わない,擦れ違って,擦身而過；錯過、產生誤解【自動詞・五段動詞】,擦れ違った,すれちがいます,擦れ違いたい,擦れ違え,すれちがう
伸びる,伸びます,伸びない,伸びて,伸長、延長；成長、進步【自動詞・一段動詞】,伸びた,のびます,伸びたい,伸びろ,のびる
飽きる,飽きます,飽きない,飽きて,厭、厭膩、厭倦、厭煩【自動詞・一段動詞】,飽きた,あきます,飽きたい,飽きろ,あきる
経る,経ます,経ない,経て,經歷～、經過～；經由～【他動詞・一段動詞】,経た,へます,経たい,経ろ,へる
明ける,明けます,明けない,明けて,天亮；夜晚、季節或期間結束【自動詞・一段動詞】,明けた,あけます,明けたい,明けろ,あける
切れる,切れます,切れない,切れて,斷裂；用完、過期；失效；鋒利【自動詞・一段動詞】,切れた,きれます,切れたい,切れろ,きれる
越える,越えます,越えない,越えて,越過～、超越～（界線或數值）【他動詞・一段動詞】,越えた,こえます,越えたい,越えろ,こえる
覚める,覚めます,覚めない,覚めて,醒來；清醒（睡眠或迷醉消退）【自動詞・一段動詞】,覚めた,さめます,覚めたい,覚めろ,さめる
冷める,冷めます,冷めない,冷めて,變涼、冷掉；熱情消退【自動詞・一段動詞】,冷めた,さめます,冷めたい,冷めろ,さめる
炊ける,炊けます,炊けない,炊けて,飯煮好、煮熟【自動詞・一段動詞】,炊けた,たけます,炊けたい,炊けろ,たける
煮える,煮えます,煮えない,煮えて,煮熟、煮沸（食物自行熟成）【自動詞・一段動詞】,煮えた,にえます,煮えたい,煮えろ,にえる
抜ける,抜けます,抜けない,抜けて,脫落、掉出；漏掉；穿過、退出【自動詞・一段動詞】,抜けた,ぬけます,抜けたい,抜けろ,ぬける
溶ける,溶けます,溶けない,溶けて,融化、溶解（自行化開）【自動詞・一段動詞】,溶けた,とけます,溶けたい,溶けろ,とける
解ける,解けます,解けない,解けて,解開、解除；謎題得到解答【自動詞・一段動詞】,解けた,とけます,解けたい,解けろ,とける
