動詞,ます形,ない型,て形 (音便),中文,た形,ます形發音,たい形,命令形,發音
やる,やります,やらない,やって,做、給（口語；對晚輩或動植物）【他動詞・五段動詞】,やった,やります,やりたい,やれ,やる
折る,折ります,折らない,折って,把～折斷、摺疊【他動詞・五段動詞】,折った,おります,折りたい,折れ,おる
塗る,塗ります,塗らない,塗って,塗抹【他動詞・五段動詞】,塗った,ぬります,塗りたい,塗れ,ぬる
釣る,釣ります,釣らない,釣って,釣（魚）；引誘【他動詞・五段動詞】,釣った,つります,釣りたい,釣れ,つる
焼く,焼きます,焼かない,焼いて,烤、燒～（人為加熱）【他動詞・五段動詞】,焼いた,やきます,焼きたい,焼け,やく
踏む,踏みます,踏まない,踏んで,踩/踏【他動詞・五段動詞】,踏んだ,ふみます,踏みたい,踏め,ふむ
噛む,噛みます,噛まない,噛んで,咬【他動詞・五段動詞】,噛んだ,かみます,噛みたい,噛め,かむ
足す,足します,足さない,足して,加/添【他動詞・五段動詞】,足した,たします,足したい,足せ,たす
思う,思います,思わない,思って,想/認為【他動詞・五段動詞】,思った,おもいます,思いたい,思え,おもう
払う,払います,払わない,払って,支付【他動詞・五段動詞】,払った,はらいます,払いたい,払え,はらう
貰う,貰います,貰わない,貰って,從別人那裡收到、領受【他動詞・五段動詞】,貰った,もらいます,貰いたい,貰え,もらう
拾う,拾います,拾わない,拾って,撿/拾【他動詞・五段動詞】,拾った,ひろいます,拾いたい,拾え,ひろう
申す,申します,申さない,申して,說、叫作（「言う」的謙讓語）【他動詞・五段動詞】,申した,もうします,申したい,申せ,もうす
直す,直します,直さない,直して,把～修好、改正【他動詞・五段動詞】,直した,なおします,直したい,直せ,なおす
探す,探します,探さない,探して,尋找【他動詞・五段動詞】,探した,さがします,探したい,探せ,さがす
致す,致します,致さない,致して,做（「する」的謙讓語）【他動詞・五段動詞】,致した,いたします,致したい,致せ,いたす
写す,写します,写さない,写して,抄寫、拍攝、描摹～【他動詞・五段動詞】,写した,うつします,写したい,写せ,うつす
移す,移します,移さない,移して,把～移動、轉移【他動詞・五段動詞】,移した,うつします,移したい,移せ,うつす
