動詞,ます形,ない型,て形 (音便),中文,た形,ます形發音,たい形,命令形,發音
壊す,壊します,壊さない,壊して,把～弄壞、破壞【他動詞・五段動詞】,壊した,こわします,壊したい,壊せ,こわす
打つ,打ちます,打たない,打って,打【他動詞・五段動詞】,打った,うちます,打ちたい,打て,うつ
選ぶ,選びます,選ばない,選んで,選擇【他動詞・五段動詞】,選んだ,えらびます,選びたい,選べ,えらぶ
盗む,盗みます,盗まない,盗んで,偷竊【他動詞・五段動詞】,盗んだ,ぬすみます,盗みたい,盗め,ぬすむ
包む,包みます,包まない,包んで,包/裝【他動詞・五段動詞】,,つつみます,包みたい,包め,つつむ
叱る,叱ります,叱らない,叱って,責罵【他動詞・五段動詞】,,しかります,叱りたい,叱れ,しかる
送る,送ります,送らない,送って,寄送【他動詞・五段動詞】,,おくります,送りたい,送れ,おくる
飾る,飾ります,飾らない,飾って,裝飾【他動詞・五段動詞】,,かざります,飾りたい,飾れ,かざる
祈る,祈ります,祈らない,祈って,祈禱【他動詞・五段動詞】,,いのります,祈りたい,祈れ,いのる
伺う,伺います,伺わない,伺って,問候【他動詞・五段動詞】,,うかがいます,伺いたい,伺え,うかがう
行う,行います,行わない,行って,進行/舉辦【他動詞・五段動詞】,,おこないます,行いたい,行え,おこなう
頂く,頂きます,頂かない,頂いて,領/收到【他動詞・五段動詞】,,いただきます,頂きたい,頂け,いただく
仰る,仰ります,仰らない,仰って,謙遜地說/說【他動詞・五段動詞】,,おっしゃります,仰りたい,仰れ,おっしゃる
落とす,落とします,落とさない,落として,使～掉落、弄丟；降低【他動詞・五段動詞】,,おとします,落としたい,落とせ,おとす
起こす,起こします,起こさない,起こして,叫醒～；使～發生、引起【他動詞・五段動詞】,,おこします,起こしたい,起こせ,おこす
下さる,下さいます,下さらない,下さいて,給我／我方（「くれる」的尊敬語）【他動詞・五段動詞】,,くださいます,下さいたい,下さいなさい,くださる
手伝う,手伝います,手伝わない,手伝って,幫助【他動詞・五段動詞】,,てつだいます,手伝いたい,手伝え,てつだう
沸かす,沸かします,沸かさない,沸かして,把～煮沸、燒熱【他動詞・五段動詞】,,わかします,沸かしたい,沸かせ,わかす
引っ越す,引っ越します,引っ越さない,引っ越して,搬家、遷居【自動詞・五段動詞】,,ひっこします,引っ越したい,引っ越せ,ひっこす
思い出す,思い出します,思い出さない,思い出して,想起、回想起～【他動詞・五段動詞】,,おもいだします,思い出したい,思い出せ,おもいだす
召し上がる,召し上がります,召し上がらない,召し上がって,吃、喝（「食べる／飲む」的尊敬語）【他動詞・五段動詞】,,めしあがります,召し上がりたい,召し上がれ,めしあがる
世話する,世話します,世話しない,世話して,照顧～、幫忙～【他動詞・サ變動詞】,世話した,せわします,世話したい,世話しろ,せわする
利用する,利用します,利用しない,利用して,利用【他動詞・サ變動詞】,利用した,りようします,利用したい,利用しろ,りようする
講義する,講義します,講義しない,講義して,講課、授課【他動詞・サ變動詞】,講義した,こうぎします,講義したい,講義しろ,こうぎする
邪魔する,邪魔します,邪魔しない,邪魔して,妨礙～、打擾～【他動詞・サ變動詞】,邪魔した,じゃます,邪魔したい,邪魔しろ,じゃまする
予定する,予定します,予定しない,予定して,預定、排定（具體安排）【他動詞・サ變動詞】,予定した,よていします,予定したい,予定しろ,よていする
予約する,予約します,予約しない,予約して,預約【他動詞・サ變動詞】,予約した,よやくします,予約したい,予約しろ,よやくする
予習する,予習します,予習しない,予習して,預習【他動詞・サ變動詞】,予習した,よしゅうします,予習したい,予習しろ,よしゅうする
遠慮する,遠慮します,遠慮しない,遠慮して,客氣、顧慮；婉拒【自動詞・サ變動詞】,遠慮した,えんりょします,遠慮したい,遠慮しろ,えんりょする
承知する,承知します,承知しない,承知して,知道、明白；同意、接受【他動詞・サ變動詞】,承知した,しょうちします,承知したい,承知しろ,しょうちする
準備する,準備します,準備しない,準備して,準備【他動詞・サ變動詞】,準備した,じゅんびします,準備したい,準備しろ,じゅんびする
中止する,中止します,中止しない,中止して,中止【他動詞・サ變動詞】,中止した,ちゅうしします,中止したい,中止しろ,ちゅうしする
輸出する,輸出します,輸出しない,輸出して,出口、輸出～【他動詞・サ變動詞】,輸出した,ゆしゅつします,輸出したい,輸出しろ,ゆしゅつする
輸入する,輸入します,輸入しない,輸入して,進口、輸入～【他動詞・サ變動詞】,輸入した,ゆにゅうします,輸入したい,輸入しろ,ゆにゅうする
案内する,案内します,案内しない,案内して,帶領、導覽；告知～【他動詞・サ變動詞】,案内した,あんないします,案内したい,案内しろ,あんないする
運転する,運転します,運転しない,運転して,開車/駕駛【他動詞・サ變動詞】,運転した,うんてんします,運転したい,運転しろ,うんてんする
計画する,計画します,計画しない,計画して,規劃、制定計畫（著重規劃）【他動詞・サ變動詞】,計画した,けいかくします,計画したい,計画しろ,けいかくする
経験する,経験します,経験しない,経験して,經歷、體驗～【他動詞・サ變動詞】,経験した,けいけんします,経験したい,経験しろ,けいけんする
見物する,見物します,見物しない,見物して,遊覽、觀賞（景點或表演）【自動詞・サ變動詞】,見物した,けんぶつします,見物したい,見物しろ,けんぶつする
見学する,見学します,見学しない,見学して,參觀學習、實地觀摩【自動詞・サ變動詞】,見学した,けんがくします,見学したい,見学しろ,けんがくする
生産する,生産します,生産しない,生産して,生產【他動詞・サ變動詞】,生産した,せいさんします,生産したい,生産しろ,せいさんする
説明する,説明します,説明しない,説明して,說明【他動詞・サ變動詞】,説明した,せつめいします,説明したい,説明しろ,せつめいする
相談する,相談します,相談しない,相談して,商量、諮詢【自動詞・サ變動詞】,相談した,そうだんします,相談したい,相談しろ,そうだんする
拝見する,拝見します,拝見しない,拝見して,看、拜讀（「見る」的謙讓語）【他動詞・サ變動詞】,拝見した,はいけんします,拝見したい,拝見しろ,はいけんする
発音する,発音します,発音しない,発音して,發音【他動詞・サ變動詞】,発音した,はつおんします,発音したい,発音しろ,はつおんする
放送する,放送します,放送しない,放送して,廣播【他動詞・サ變動詞】,放送した,ほうそうします,放送したい,放送しろ,ほうそうする
翻訳する,翻訳します,翻訳しない,翻訳して,筆譯、翻譯文章【他動詞・サ變動詞】,翻訳した,ほんやくします,翻訳したい,翻訳しろ,ほんやくする
通訳する,通訳します,通訳しない,通訳して,口譯、現場翻譯【他動詞・サ變動詞】,通訳した,つうやくします,通訳したい,通訳しろ,つうやくする
約束する,約束します,約束しない,約束して,約定【他動詞・サ變動詞】,約束した,やくそくします,約束したい,約束しろ,やくそくする
連絡する,連絡します,連絡しない,連絡して,聯絡【他動詞・サ變動詞】,連絡した,れんらくします,連絡したい,連絡しろ,れんらくする
教育する,教育します,教育しない,教育して,教育【他動詞・サ變動詞】,教育した,きょういくします,教育したい,教育しろ,きょういくする
競争する,競争します,競争しない,競争して,競爭、比賽【自動詞・サ變動詞】,競争した,きょうそうします,競争したい,競争しろ,きょうそうする
研究する,研究します,研究しない,研究して,研究【他動詞・サ變動詞】,研究した,けんきゅうします,研究したい,研究しろ,けんきゅうする
紹介する,紹介します,紹介しない,紹介して,介紹【他動詞・サ變動詞】,紹介した,しょうかいします,紹介したい,紹介しろ,しょうかいする
招待する,招待します,招待しない,招待して,邀請【他動詞・サ變動詞】,招待した,しょうたいします,招待したい,招待しろ,しょうたいする
注射する,注射します,注射しない,注射して,注射、打針【他動詞・サ變動詞】,注射した,ちゅうしゃします,注射したい,注射しろ,ちゅうしゃする
復習する,復習します,復習しない,復習して,復習【他動詞・サ變動詞】,復習した,ふくしゅうします,復習したい,復習しろ,ふくしゅうする
やめる,やめます,やめない,やめて,停止、辭掉、戒掉～【他動詞・一段動詞】,,やめます,やめたい,やめろ,やめる
くれる,くれます,くれない,くれて,別人給我／我方（一般說法）【他動詞・一段動詞】,,くれます,くれたい,くれ,くれる
植える,植えます,植えない,植えて,栽種【他動詞・一段動詞】,,うえます,植えたい,植えろ,うえる
変える,変えます,変えない,変えて,把～改變、更換【他動詞・一段動詞】,,かえます,変えたい,変えろ,かえる
掛ける,掛けます,掛けない,掛けて,掛上～；打電話；花費；戴上【他動詞・一段動詞】,,かけます,掛けたい,掛けろ,かける
付ける,付けます,付けない,付けて,把～附上、裝上、貼上；開啟【他動詞・一段動詞】,,つけます,付けたい,付けろ,つける
漬ける,漬けます,漬けない,漬けて,把～浸泡、醃漬【他動詞・一段動詞】,,つけます,漬けたい,漬けろ,つける
挙げる,挙げます,挙げない,挙げて,舉起、列舉；舉辦～【他動詞・一段動詞】,,あげます,挙げたい,挙げろ,あげる
下げる,下げます,下げない,下げて,使～降低、放下【他動詞・一段動詞】,,さげます,下げたい,下げろ,さげる
投げる,投げます,投げない,投げて,投【他動詞・一段動詞】,,なげます,投げたい,投げろ,なげる
捨てる,捨てます,捨てない,捨てて,丟【他動詞・一段動詞】,,すてます,捨てたい,捨てろ,すてる
立てる,立てます,立てない,立てて,把～立起；制定（計畫）【他動詞・一段動詞】,,たてます,立てたい,立てろ,たてる
建てる,建てます,建てない,建てて,建造～（建築物）【他動詞・一段動詞】,,たてます,建てたい,建てろ,たてる
比べる,比べます,比べない,比べて,比較【他動詞・一段動詞】,,くらべます,比べたい,比べろ,くらべる
調べる,調べます,調べない,調べて,調查【他動詞・一段動詞】,,しらべます,調べたい,調べろ,しらべる
決める,決めます,決めない,決めて,決定～、選定～（人為決定）【他動詞・一段動詞】,,きめます,決めたい,決めろ,きめる
止める,止めます,止めない,止めて,使～停止、停住【他動詞・一段動詞】,,とめます,止めたい,止めろ,とめる
褒める,褒めます,褒めない,褒めて,稱讚【他動詞・一段動詞】,,ほめます,褒めたい,褒めろ,ほめる
育てる,育てます,育てない,育てて,養育～、培養～（使其成長）【他動詞・一段動詞】,,そだてます,育てたい,育てろ,そだてる
尋ねる,尋ねます,尋ねない,尋ねて,詢問、請教～【他動詞・一段動詞】,,たずねます,尋ねたい,尋ねろ,たずねる
訪ねる,訪ねます,訪ねない,訪ねて,拜訪～、造訪～【他動詞・一段動詞】,,おとずれます,訪ねたい,訪ねろ,たずねる
苛める,苛めます,苛めない,苛めて,欺負【他動詞・一段動詞】,,いじめます,苛めたい,苛めろ,いじめる
始める,始めます,始めない,始めて,開始做～（人為開始）【他動詞・一段動詞】,,はじめます,始めたい,始めろ,はじめる
集める,集めます,集めない,集めて,收集～、把～聚集起來【他動詞・一段動詞】,,あつめます,集めたい,集めろ,あつめる
迎える,迎えます,迎えない,迎えて,迎接【他動詞・一段動詞】,,むかえます,迎えたい,迎えろ,むかえる
伝える,伝えます,伝えない,伝えて,傳達【他動詞・一段動詞】,,つたえます,伝えたい,伝えろ,つたえる
続ける,続けます,続けない,続けて,使～持續；繼續做～【他動詞・一段動詞】,,つづけます,続けたい,続けろ,つづける
届ける,届けます,届けない,届けて,把～送到；申報～【他動詞・一段動詞】,,とどけます,届けたい,届けろ,とどける
考える,考えます,考えない,考えて,思考【他動詞・一段動詞】,,かんがえます,考えたい,考えろ,かんがえる
知らせる,知らせます,知らせない,知らせて,通知～、讓～知道【他動詞・一段動詞】,,しらせます,知らせたい,知らせろ,しらせる
見つける,見つけます,見つけない,見つけて,找到、發現～（找的一方）【他動詞・一段動詞】,,みつけます,見つけたい,見つけろ,みつける
片付ける,片付けます,片付けない,片付けて,把～收拾整理好；處理～【他動詞・一段動詞】,,かたづけます,片付けたい,片付けろ,かたづける
捕まえる,捕まえます,捕まえない,捕まえて,抓住～、逮捕～【他動詞・一段動詞】,,つかまえます,捕まえたい,捕まえろ,つかまえる
間違える,間違えます,間違えない,間違えて,弄錯【他動詞・一段動詞】,,まちがえます,間違えたい,間違えろ,まちがえる
取り替える,取り替えます,取り替えない,取り替えて,把～換掉、替換【他動詞・一段動詞】,,とりかえます,取り替えたい,取り替えろ,とりかえる
乗り換える,乗り換えます,乗り換えない,乗り換えて,轉乘（交通工具）【他動詞・一段動詞】,,のりかえます,乗り換えたい,乗り換えろ,のりかえる
申し上げる,申し上げます,申し上げない,申し上げて,說、稟告（「言う」的謙讓語）【他動詞・一段動詞】,,もうしあげます,申し上げたい,申し上げろ,もうしあげる
差し上げる,差し上げます,差し上げない,差し上げて,給～（「あげる」的謙讓語）【他動詞・一段動詞】,,さしあげます,差し上げたい,差し上げろ,さしあげる
やむ,やみます,やまない,やんで,停止、止住（雨、風等）【自動詞・五段動詞】,,やみます,やみたい,やめ,やむ
おる,おります,おらない,おって,在、待著（「いる」的謙讓語）【自動詞・五段動詞】,,おります,おりたい,おれ,おる
合う,合います,あわない,あって,相合、合適；一致；會合【自動詞・五段動詞】,,あいます,あいたい,あえ,あう
空く,空きます,あかない,あいて,空出、出現空位；有空【自動詞・五段動詞】,,あきます,あきたい,あけ,あく
空く,空きます,すかない,すいて,變空、變少；肚子餓【自動詞・五段動詞】,,すきます,すきたい,すけ,すく
泣く,泣きます,なかない,ないて,哭泣【自動詞・五段動詞】,,なきます,なきたい,なけ,なく
沸く,沸きます,わかない,わいて,沸騰、燒開（液體自行沸騰）【自動詞・五段動詞】,,わきます,わきたい,わけ,わく
着く,着きます,つかない,ついて,抵達、到達（目的地）【自動詞・五段動詞】,,つきます,つきたい,つけ,つく
勝つ,勝ちます,かたない,かって,勝利/獲勝/贏【自動詞・五段動詞】,,かちます,かちたい,かて,かつ
込む,込みます,こまない,こんで,擁擠；進入～之中【自動詞・五段動詞】,,こみます,こみたい,こめ,こむ
済む,済みます,すまない,すんで,結束、解決；足以應付【自動詞・五段動詞】,,すみます,すみたい,すめ,すむ
鳴る,鳴ります,ならない,なって,響起、發出聲音（物體自行響）【自動詞・五段動詞】,,なります,なりたい,なれ,なる
寄る,寄ります,よらない,よって,靠近；順道前往【自動詞・五段動詞】,,よります,よりたい,よれ,よる
向かう,向かいます,むかわない,むかって,朝向、前往；面對【自動詞・五段動詞】,,むかいます,むかいたい,むかえ,むかう
通う,通います,かよわない,かよって,定期往返、通勤、通學【自動詞・五段動詞】,,かよいます,かよいたい,かよえ,かよう
笑う,笑います,わらわない,わらって,笑【自動詞・五段動詞】,,わらいます,わらいたい,われ,わらう
動く,動きます,うごかない,うごいて,移動、運轉（自行動作）【自動詞・五段動詞】,,うごきます,うごきたい,うごけ,うごく
続く,続きます,つづかない,つづいて,持續、接連（狀態自行延續）【自動詞・五段動詞】,,つづきます,つづきたい,つづけ,つづく
乾く,乾きます,かわかない,かわいて,變乾、乾燥（物品自行變乾）【自動詞・五段動詞】,,かわきます,かわいたい,かけ,かわく
急ぐ,急ぎます,いそがない,いそいで,急/快點【自動詞・五段動詞】,,いそぎます,いそぎたい,いそげ,いそぐ
騒ぐ,騒ぎます,さわがない,さわいで,騷動/吵鬧【自動詞・五段動詞】,,さわぎます,さわぎたい,さわげ,さわぐ
進む,進みます,すすまない,すすんで,前進；進展、進步【自動詞・五段動詞】,,すすみます,すすみたい,すすめ,すすむ
参る,参ります,まいらない,まいって,去、來（「行く／来る」的謙讓語）；認輸【自動詞・五段動詞】,,まいります,まいりたい,まいれ,まいる
光る,光ります,ひからない,ひかって,發光【自動詞・五段動詞】,,ひかります,ひかりたい,ひかれ,ひかる
通る,通ります,とおらない,とおって,通過、穿過；獲准、成立【自動詞・五段動詞】,,とおります,とおりたい,とおれ,とおる
治る,治ります,なおらない,なおって,病痊癒、傷勢恢復【自動詞・五段動詞】,,なおります,なおりたい,なおれ,なおる
直る,直ります,なおらない,なおって,故障修好、錯誤改正（恢復正常）【自動詞・五段動詞】,,なおります,なおりたい,なおれ,なおる
踊る,踊ります,おどらない,おどって,跳舞【自動詞・五段動詞】,,おどります,おどりたい,おどれ,おどる
戻る,戻ります,もどらない,もどって,返回原處、恢復原狀【自動詞・五段動詞】,,もどります,もどりたい,もどれ,もどる
怒る,怒ります,おこらない,おこって,生氣【自動詞・五段動詞】,,おこります,おこりたい,おこれ,おこる
太る,太ります,ふとらない,ふとって,肥胖【自動詞・五段動詞】,,ふとります,ふとりたい,ふとれ,ふとる
残る,残ります,のこらない,のこって,留下、剩餘（自然剩下）【自動詞・五段動詞】,,のこります,のこりたい,のこれ,のこる
移る,移ります,うつらない,うつって,移動到、轉移；感染【自動詞・五段動詞】,,うつります,うつりたい,うつれ,うつる
滑る,滑ります,すべらない,すべって,滑【自動詞・五段動詞】,,すべります,すべりたい,すべれ,すべる
眠る,眠ります,ねむらない,ねむって,睡覺【自動詞・五段動詞】,,ねむります,ねむりたい,ねむれ,ねむる
触る,触ります,さわらない,さわって,觸摸【他動詞・五段動詞】,,さわります,さわりたい,さわれ,さわる
回る,回ります,まわらない,まわって,旋轉；巡迴、繞行【自動詞・五段動詞】,,まわります,まわりたい,まわれ,まわる
謝る,謝ります,あやまらない,あやまって,道歉/謝罪【自動詞・五段動詞】,,あやまります,あやまりたい,あやまれ,あやまる
驚く,驚きます,おどろかない,おどろいて,驚訝/大驚【自動詞・五段動詞】,,おどろきます,おどろきたい,おどろけ,おどろく
喜ぶ,喜びます,よろこばない,よろこんで,喜悅【自動詞・五段動詞】,,よろこびます,よろこびたい,よろこべ,よろこぶ
上がる,上がります,あがらない,あがって,上升、提高；上樓、進屋【自動詞・五段動詞】,,あがります,あがりたい,あがれ,あがる
下がる,下がります,さがらない,さがって,下降、降低；後退【自動詞・五段動詞】,,さがります,さがりたい,さがれ,さがる
変わる,変わります,かわらない,かわって,改變、變化（狀態自行改變）【自動詞・五段動詞】,,かわります,かわりたい,かわれ,かわる
決まる,決まります,きまらない,きまって,定下來、確定（結果成立）【自動詞・五段動詞】,,きまります,きまりたい,きまれ,きまる
泊まる,泊まります,とまらない,とまって,住宿；停泊【自動詞・五段動詞】,,とまります,とまりたい,とまれ,とまる
集まる,集まります,あつまらない,あつまって,聚集、集合（人或物聚在一起）【自動詞・五段動詞】,,あつまります,あつまりたい,あつまれ,あつまる
頑張る,頑張ります,がんばらない,がんばって,加油/努力【自動詞・五段動詞】,,がんばります,がんばりたい,がんばれ,がんばる
間に合う,間に合います,まにあわない,まにあって,趕得上、來得及；夠用【自動詞・五段動詞】,,まにあいます,まにあいたい,まにあえ,まにあう
見つかる,見つかります,みつからない,みつかって,被找到、被發現（找到的結果）【自動詞・五段動詞】,,みつかります,みつかりたい,みつかれ,みつかる
いらっしゃる,いらっしゃいます,いらっしゃらない,いらっしゃって,在、去、來（尊敬語）【自動詞・五段動詞】,,いらっしゃいます,いらっしゃいたい,いらっしゃれ,いらっしゃる
似る,似ます,にない,にて,像/相似【自動詞・五段動詞】,,にます,にたい,にれ,にる
下りる,下ります,おりない,おりて,下來、下車；退出、辭去【自動詞・五段動詞】,,おります,おりたい,おれ,おりる
出来る,出来ます,できない,できて,能夠；完成、建成；形成【自動詞・五段動詞】,,できます,できたい,できれ,できる
生きる,生きます,いかない,いきて,活著、生存；發揮作用【自動詞・五段動詞】,,いきます,いきたい,いきれ,いきる
足りる,足ります,たりない,たって,足夠、足以使用【自動詞・五段動詞】,,たります,たりたい,たれ,たりる
落ちる,落ちます,おちない,おちて,掉落、下降；落選、不及格【自動詞・五段動詞】,,おちます,おちたい,おちれ,おちる
過ぎる,過ぎます,すぎない,すぎて,經過；超過；過度【自動詞・五段動詞】,,すぎます,すぎたい,すぎれ,すぎる
暮れる,暮れます,くれない,くれて,天黑、入夜；一年將盡【自動詞・五段動詞】,,くれます,くれたい,くれれ,くれる
慣れる,慣れます,なれない,なれて,習慣、適應～【自動詞・五段動詞】,,なれます,なれたい,なれれ,なれる
冷える,冷えます,ひえない,ひえて,變冷、冷卻；身體發冷【自動詞・五段動詞】,,ひえます,ひえたい,ひえれ,ひえる
増える,増えます,ふえない,ふえて,增加、變多（數量自行增加）【自動詞・五段動詞】,,ふえます,ふえたい,ふえれ,ふえる
見える,見えます,みえない,みえて,看得見；看起來像～【自動詞・五段動詞】,,みえます,みえたい,みえれ,みえる
焼ける,焼けます,やけない,やけて,烤好、燒焦；曬黑（自行受熱）【自動詞・五段動詞】,,やけます,やけたい,やけれ,やける
逃げる,逃げます,にげない,にげて,逃跑/逃避【自動詞・五段動詞】,,にげます,にげたい,にげれ,にげる
痩せる,痩せます,やせない,やせて,瘦【自動詞・五段動詞】,,やせます,やせたい,やせれ,やせる
折れる,折れます,おれない,おれて,折斷、彎折（自行斷裂）【自動詞・五段動詞】,,おれます,おれたい,おれれ,おれる
濡れる,濡れます,ぬれない,ぬれて,被弄濕、淋濕【自動詞・五段動詞】,,ぬれます,ぬれたい,ぬれれ,ぬれる
揺れる,揺れます,ゆれない,ゆれて,搖晃、動搖（自行晃動）【自動詞・五段動詞】,,ゆれます,ゆれたい,ゆれれ,ゆれる
割れる,割れます,われない,われて,破裂、碎裂（自行裂開）【自動詞・五段動詞】,,われます,われたい,われれ,われる
遅れる,遅れます,おくれない,おくれて,遲/過時【自動詞・五段動詞】,,おくれます,おくれたい,おくれれ,おくれる
汚れる,汚れます,よごれない,よごれて,變髒、受到污染【自動詞・五段動詞】,,よごれます,よごれたい,よごれれ,よごれる
壊れる,壊れます,こわれない,こわれて,壞掉、故障（自行損壞）【自動詞・五段動詞】,,こわれます,こわれたい,こわれれ,こわれる
別れる,別れます,わかれない,わかれて,分手、離別【自動詞・五段動詞】,,わかれます,わかれたい,わかれれ,わかれる
倒れる,倒れます,たおれない,たおれて,倒下、倒塌；病倒、倒閉【自動詞・五段動詞】,,たおれます,たおれたい,たおれれ,たおれる
聞こえる,聞こえます,聞こえない,きこえて,聽得見（聲音自然傳入）【自動詞・一段動詞】,,きこえます,きこえたい,きこえろ,きこえる
開く,開きます,開かない,開いて,打開、開設；敞開（自他兩用）【自他兩用・五段動詞】,,あきます,開きたい,開け,ひらく
運ぶ,運びます,運ばない,運んで,運送，搬運【他動詞・五段動詞】,,はこびます,運びたい,運べ,はこぶ
構う,構います,構わない,構って,介意、在意；理會～【自動詞・五段動詞】,,かまいます,構いたい,構う,かまう
負ける,負けます,負けない,負けて,輸、敗給～；屈服【自動詞・一段動詞】,,まけます,負けたい,負けろ,まける
受ける,受けます,受けない,受けて,接受、承受；參加（考試等）【他動詞・一段動詞】,,うけます,受けたい,受けろ,うける
連れる,連れます,連れない,連れて,帶領～、帶著～同行【他動詞・一段動詞】,,つれます,連れたい,連れて,つれる
楽しむ,楽しみます,楽しまない,楽しんで,享受～、以～為樂【他動詞・五段動詞】,,たのしみます,楽しい,楽しめ,たのしむ
