動詞,ます形,ない型,て形 (音便),中文,た形,ます形發音,たい形,命令形,發音
押さえる,押さえます,押さえない,押さえて,壓住／扣押,押さえた,おさえます,押さえたい,押さえろ,おさえる
着替える,着替えます,着替えない,着替えて,換衣服、更衣,着替えた,きがえます,着替えたい,着替えろ,きがえる
見かける,見かけます,見かけない,見かけて,看到、偶然目擊,見かけた,みかけます,見かけたい,見かけろ,みかける
確かめる,確かめます,確かめない,確かめて,確認／查明／弄清楚,確かめた,たしかめます,確かめたい,確かめろ,たしかめる
役立てる,役立てます,役立てない,役立てて,使～有用,役立てた,やくだてます,役立てたい,役立てろ,やくだてる
近付ける,近付けます,近付けない,近付けて,靠近／接近 (發音: ちかづける),近付けた,ちかづけます,近付けたい,近付けろ,ちかづける
引き受ける,引き受けます,引き受けない,引き受けて,接受,引き受けた,ひきうけます,引き受けたい,引き受けろ,ひきうける
ぶつける,ぶつけます,ぶつけない,ぶつけて,撞上／碰上,ぶつけた,ぶつけます,ぶつけたい,ぶつけろ,ぶつける
無視する,無視します,無視しない,無視して,無視、忽視、不理會,無視した,むしします,無視したい,無視しろ,むしする
批判する,批判します,批判しない,批判して,批評、批判,批判した,ひはんします,批判したい,批判しろ,ひはんする
効く,効きます,効かない,効いて,見效、奏效、有效果,効いた,ききます,効きたい,効け,きく
経つ,経ちます,経たない,経って,（時間）經過／流逝 (發音: たつ),経った,たちます,経ちたい,経て,たつ
建つ,建ちます,建たない,建って,蓋、建,建った,たちます,建ちたい,建て,たつ
発つ,発ちます,発たない,発って,出發／動身,発った,たちます,発ちたい,発て,たつ
付く,付きます,付かない,付いて,附加／裝／附著／跟隨,付いた,つきます,付きたい,付け,つく
散る,散ります,散らない,散って,散開／分散／落（葉）,散った,ちります,散りたい,散れ,ちる
減る,減ります,減らない,減って,減少 (發音: へる),減った,へります,減りたい,減れ,へる
向く,向きます,向かない,向いて,朝向／面向／指向／適合 (發音: むく),向いた,むきます,向きたい,向け,むく
映る,映ります,映らない,映って,反映／映照,映った,うつります,映りたい,映れ,うつる
渇く,渇きます,渇かない,渇いて,口渴,渇いた,かわきます,渇きたい,渇け,かわく
腐る,腐ります,腐らない,腐って,腐／腐敗／腐爛,腐った,くさります,腐りたい,腐れ,くさる
下る,下ります,下らない,下って,向下（走）,下った,くだります,下りたい,下れ,くだる
暮らす,暮らします,暮らさない,暮らして,生活／過日子,暮らした,くらします,暮らしたい,暮らせ,くらす
育つ,育ちます,育たない,育って,成長／長大／養育,育った,そだちます,育ちたい,育て,そだつ
揃う,揃います,揃わない,揃って,一致／整齊／到齊 (發音: そろう),揃った,そろいます,揃いたい,揃え,そろう
黙る,黙ります,黙らない,黙って,沉默／閉嘴,黙った,だまります,黙りたい,黙れ,だまる
届く,届きます,届かない,届いて,送達／到達,届いた,とどきます,届きたい,届け,とどく
上る,上ります,上らない,上って,上爬／高達,上った,のぼります,上りたい,上れ,のぼる
昇る,昇ります,昇らない,昇って,上升、升起／晉升,昇った,のぼります,昇りたい,昇れ,のぼる
悩む,悩みます,悩まない,悩んで,煩惱,悩んだ,なやみます,悩みたい,悩め,なやむ
迷う,迷います,迷わない,迷って,猶豫／迷（路）,迷った,まよいます,迷いたい,迷え,まよう
返る,返ります,返らない,返って,返／還／回／恢復／翻轉,返った,かえります,返りたい,返れ,かえる
罹る,罹ります,罹らない,罹って,患（病）、罹患,罹った,かかります,罹りたい,罹れ,かかる
代わる,代わります,代わらない,代わって,替、代替／換、代換,代わった,かわります,代わりたい,代われ,かわる
替わる,替わります,替わらない,替わって,替代／替換 (發音: かわる),替わった,かわります,替わりたい,替われ,かわる
刺さる,刺さります,刺さらない,刺さって,刺／扎,刺さった,ささります,刺さりたい,刺され,ささる
出会う,出会います,出会わない,出会って,相遇、相逢,出会った,であいます,出会いたい,出会え,であう
詰まる,詰まります,詰まらない,詰まって,堵塞／填滿／緊縮／塞住 (發音: つまる),詰まった,つまります,詰まりたい,詰まれ,つまる
流行る,流行ります,流行らない,流行って,流行,流行った,はやります,流行りたい,流行れ,はやる
混ざる,混ざります,混ざらない,混ざって,混雜,混ざった,まざります,混ざりたい,混ざれ,まざる
混じる,混じります,混じらない,混じって,混合、參雜、夾雜 (發音: まじる),混じった,まじります,混じりたい,混じれ,まじる
埋まる,埋まります,埋まらない,埋まって,被埋住／滿、填滿、塞滿／填補 (發音: うまる),埋まった,うまります,埋まりたい,埋まれ,うまる
起こる,起こります,起こらない,起こって,發生／引起,起こった,おこります,起こりたい,起これ,おこる
広がる,広がります,広がらない,広がって,蔓延／擴大 (發音: ひろがる),広がった,ひろがります,広がりたい,広がれ,ひろがる
広まる,広まります,広まらない,広まって,傳播／普及／傳開 (發音: ひろまる),広まった,ひろまります,広まりたい,広まれ,ひろまる
深まる,深まります,深まらない,深まって,加深 (發音: ふかまる),深まった,ふかまります,深まりたい,深まれ,ふかまる
温まる,温まります,温まらない,温まって,溫／暖／取暖,温まった,あたたまります,温まりたい,温まれ,あたたまる
片付く,片付きます,片付かない,片付いて,整理／解決 (發音: かたづく),片付いた,かたづきます,片付きたい,片付け,かたづく
高まる,高まります,高まらない,高まって,增高／高漲,高まった,たかまります,高まりたい,高まれ,たかまる
助かる,助かります,助からない,助かって,得救、獲救,助かった,たすかります,助かりたい,助かれ,たすかる
亡くなる,亡くなります,亡くならない,亡くなって,死亡,亡くなった,なくなります,亡くなりたい,亡くなれ,なくなる
まとまる,まとまります,まとまらない,まとまって,整理好、整齊／統整／達成／一致／完成 (發音: まとまる),まとまった,まとまります,まとまりたい,まとまれ,まとまる
